¡iTest¡j(Ensemble) Threshold Table_EN :
+------------------+-------+-------+---------+---------+---------+----------+-------------+-------------+
|    Threshold     |   TP  |   TN  |  TP+TN  |   PPV   |   NPV   | Accuracy | Sensitivity | Specificity |
|   (0.20,0.40)    |   17  |  174  |    191  |  0.680  |  0.414  |  0.429   |    0.198    |    0.485    |
|   (0.20,0.45)    |   15  |  176  |    191  |  0.714  |  0.415  |  0.429   |    0.174    |    0.490    |
|   (0.20,0.50)    |   12  |  178  |    190  |  0.750  |  0.415  |  0.427   |    0.140    |    0.496    |
|   (0.20,0.55)    |   11  |  180  |    191  |  0.917  |  0.416  |  0.429   |    0.128    |    0.501    |
|   (0.20,0.60)    |   11  |  180  |    191  |  0.917  |  0.416  |  0.429   |    0.128    |    0.501    |
|   (0.20,0.65)    |   10  |  180  |    190  |  0.909  |  0.415  |  0.427   |    0.116    |    0.501    |
|   (0.20,0.70)    |    9  |  180  |    189  |  0.900  |  0.414  |  0.425   |    0.105    |    0.501    |
|   (0.20,0.75)    |    8  |  180  |    188  |  0.889  |  0.413  |  0.422   |    0.093    |    0.501    |
|   (0.20,0.80)    |    7  |  180  |    187  |  0.875  |  0.412  |  0.420   |    0.081    |    0.501    |
|   (0.20,0.85)    |    6  |  180  |    186  |  0.857  |  0.411  |  0.418   |    0.070    |    0.501    |
|   (0.20,0.90)    |    4  |  180  |    184  |  0.800  |  0.409  |  0.413   |    0.047    |    0.501    |
|   (0.20,0.95)    |    3  |  180  |    183  |  0.750  |  0.408  |  0.411   |    0.035    |    0.501    |
|   (0.25,0.30)    |   25  |  128  |    153  |  0.455  |  0.328  |  0.344   |    0.291    |    0.357    |
|   (0.25,0.35)    |   21  |  141  |    162  |  0.656  |  0.341  |  0.364   |    0.244    |    0.393    |
|   (0.25,0.40)    |   17  |  143  |    160  |  0.680  |  0.340  |  0.360   |    0.198    |    0.398    |
|   (0.25,0.45)    |   15  |  145  |    160  |  0.714  |  0.342  |  0.360   |    0.174    |    0.404    |
|   (0.25,0.50)    |   12  |  147  |    159  |  0.750  |  0.343  |  0.357   |    0.140    |    0.409    |
|   (0.25,0.55)    |   11  |  149  |    160  |  0.917  |  0.344  |  0.360   |    0.128    |    0.415    |
|   (0.25,0.60)    |   11  |  149  |    160  |  0.917  |  0.344  |  0.360   |    0.128    |    0.415    |
|   (0.25,0.65)    |   10  |  149  |    159  |  0.909  |  0.343  |  0.357   |    0.116    |    0.415    |
|   (0.25,0.70)    |    9  |  149  |    158  |  0.900  |  0.343  |  0.355   |    0.105    |    0.415    |
|   (0.25,0.75)    |    8  |  149  |    157  |  0.889  |  0.342  |  0.353   |    0.093    |    0.415    |
|   (0.25,0.80)    |    7  |  149  |    156  |  0.875  |  0.341  |  0.351   |    0.081    |    0.415    |
|   (0.25,0.85)    |    6  |  149  |    155  |  0.857  |  0.340  |  0.348   |    0.070    |    0.415    |
|   (0.25,0.90)    |    4  |  149  |    153  |  0.800  |  0.339  |  0.344   |    0.047    |    0.415    |
|   (0.25,0.95)    |    3  |  149  |    152  |  0.750  |  0.338  |  0.342   |    0.035    |    0.415    |
|   (0.30,0.35)    |   21  |  138  |    159  |  0.656  |  0.334  |  0.357   |    0.244    |    0.384    |
|   (0.30,0.40)    |   17  |  140  |    157  |  0.680  |  0.333  |  0.353   |    0.198    |    0.390    |
|   (0.30,0.45)    |   15  |  142  |    157  |  0.714  |  0.335  |  0.353   |    0.174    |    0.396    |
