GA-KM-42464_HYR20200901(2)=2.4 ug_ISD=10 ng_35%_1,SAA2a (RS-),SAA1g (RS-),SAAU2 (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin9,bin13,bin16,bin24,bin29,bin31,bin38,bin46,bin54,bin55,bin61,bin64,bin66,bin80,bin83,UDF1,UDF2,UDF3,UDF5,UDF33,UDF40,UDF48,UDF52,UDF59,UDF64,UDF75,UDF87,UDF89,UDF91,UDF93,,ISD,MAD,,,,,,,,
,11383,11410.5,11426.7,11439.3,11472.4,11496.9,11512.1,11527.7,11628.1,11683.1,11458.9,11475.6,11485,11550.2,11565.1,11570.9,11594.8,11616,11651.7,11668.7,11703.9,11718.8,11725.6,11781.9,11792.1,11310.9,11394.4,11401.7,11421.4,11558,11576.1,11602.3,11610.3,11638.6,11659.6,11714,11751.3,11761.6,11767.6,11773.3,,12361,0,,,,,,,,
,0.001912822,0.002727047,0.003288537,0.017780713,0.002580733,0.007824403,0.026727085,0.090936914,0.003854713,0.084456314,0.005466972,0.003080759,0.002094735,0.012895714,0.000607384,0.007179167,0.004895838,0.003794368,0.0036429,0.014619987,0.012884891,0.000141718,0.007166076,0.00189568,0.00776303,0.003921755,0.001365511,0.001847639,0.003403332,0.001044435,0.004263481,0.000746185,0.003692769,0.004515474,0.000693519,0.000641563,0.004390339,0.001143978,0.003678938,0.004677721,,875.2764657,,,,,,,,,
GA-KM-42464_HYR20200901(2)=2.4 ug_ISD=10 ng_35%_2,SAA2a (RS-),SAAU2 (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA2b,SAA1a,SAAU3,bin10,bin16,bin17,bin24,bin33,bin35,bin45,bin51,bin54,bin55,bin61,bin63,bin66,bin69,bin73,bin78,bin81,UDF1,UDF2,UDF4,UDF5,UDF17,UDF33,UDF36,UDF39,UDF45,UDF47,UDF55,UDF58,UDF64,UDF80,UDF93,UDF97,,ISD,MAD,,,,
,11385.3,11426.6,11440.4,11471.4,11496.9,11511.7,11527.2,11629.1,11646.9,11683.4,11756.3,11461.2,11482.4,11488.3,11548.7,11577.5,11589.1,11612.6,11641.8,11652.2,11669.6,11704.1,11716.9,11726.2,11736.6,11748.6,11771.2,11785.4,11355.2,11394.1,11407,11416.1,11477.9,11558.7,11564.4,11572.5,11594.2,11599.9,11618.5,11635.6,11657.4,11731,11777.1,11790.6,,12361.1,0,,,,
,0.001905819,0.006163109,0.022689022,0.001172985,0.005709311,0.022518493,0.10571812,0.004523066,0.000772269,0.082123759,0.003546141,0.008684422,0.00236486,0.001259593,0.017079686,0.003635435,0.003141299,0.006775186,0.001896921,0.00766905,0.018738533,0.017636145,0.000257051,0.005254331,0.001095081,0.007571396,0.004626931,0.002618494,0.004912714,0.003723052,0.005755408,0.001071871,0.003445844,0.00185899,0.001562891,0.010019726,0.004077606,0.002432578,0.000697696,0.008974117,0.000703348,0.008350069,0.001912352,0.006039881,,615.6698422,,,,,
GC-KM-688_HYR0721=2.4ug_ISD=20ng_1,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1b (RS-),SAAU3 (RS-),SAA1a (R-),SAAU1 (R-),SAA1b (R-),SAA2a,SAA1a,SAA1b,bin3,bin10,bin11,bin16,bin25,bin31,bin42,bin54,bin59,bin62,bin66,bin75,bin81,UDF1,UDF5,UDF25,UDF65,,ISD,MAD,,,,,,,,,,,,,,,,,,,
,11385.9,11410.4,11440.7,11472.6,11498.2,11512.7,11527.1,11541.4,11585.4,11629.2,11683.7,11741.1,11425.6,11459.9,11464.7,11482.9,11555,11570.1,11607.3,11651.7,11696.1,11710.7,11725.9,11763.3,11785.2,11352.7,11415.3,11519.3,11670.2,,12360.5,0,,,,,,,,,,,,,,,,,,,
,0.065767202,0.006450074,0.310612677,0.36680408,4.401953914,0.032581941,1.867804868,0.206469898,16.11564707,1.516169252,1.235139158,11.7469721,0.024921568,0.02863901,0.008515378,0.639745955,0.721383223,4.016024461,2.119727163,0.557067948,0.142540135,0.580461523,2.77956151,1.238693203,0.390760282,0.024537281,0.005359836,0.040889653,0.159892917,,946.5279244,,,,,,,,,,,,,,,,,,,,
GC-KM-688_HYR0721=2.4ug_ISD=20ng_2,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1b (RS-),SAAU3 (RS-),SAA1a (R-),SAAU1 (R-),SAA1b (R-),SAA2a,SAA1a,SAA1b,bin3,bin10,bin16,bin25,bin31,bin42,bin54,bin55,bin59,bin62,bin66,bin75,bin81,UDF1,UDF2,UDF5,,ISD,MAD,,,,,,,,,,,,,,,,,,,,
