,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.1,1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.579946922,,817.3392026,,,,,,,,
CP-CG-0008_FCY190612(2)=2.4ug_ISD=7ng_30%_2,SAA2a (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin24,bin31,bin37,bin46,bin54,bin55,bin61,bin66,bin73,UDF4,UDF12,,ISD,MAD1,MAD2,Total_SAA,,,,
,11386.5,11440.1,11473.2,11496.8,11512.2,11526.9,11629.3,11683.4,11425.1,11549,11570.8,11592.9,11615.3,11653.3,11668.2,11705,11726.8,11748.8,11408.8,11459.4,,12360.7,13.3434,0.324563538,57.85181947,,,,
,0.1,0.1,0.1,0.1,0.2,0.6,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.161964109,0.550397271,,656.7164476,,,,,,,
CP-CG-0012_HYR20201005(1)=2.4 ug_ISD=5 ng_35%_1,SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,bin3,bin9,bin16,bin24,bin31,bin46,bin51,bin55,bin61,bin66,,ISD,MAD1,MAD2,Total_SAA,,,,,
,11411.4,11440.2,11473.3,11498.9,11512.3,11527.2,11630,11654.7,11683.3,11425.4,11458.4,11483.4,11548.8,11570.6,11615.6,11639.5,11668.6,11704.9,11726.7,,12360.6,4.4478,0.225430754,31.76219834,,,,,
,0.1,0.1,0.1,0.2,0.2,0.6,0.1,0.2,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,,148.2698035,,,,,,,,
CP-CG-0012_HYR20201005(1)=2.4 ug_ISD=5 ng_35%_2,SAA1g (RS-),SAAU2 (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,bin10,bin16,bin24,bin37,bin46,bin51,bin55,bin61,bin66,,ISD,MAD1,MAD2,Total_SAA,,,,,
,11411.4,11426.4,11440.2,11472.2,11499,11512.5,11527,11629.6,11655.1,11683.3,11459.6,11483.2,11548.8,11591.8,11615.8,11639.4,11668.6,11704.8,11727.2,,12360.6,2.9652,0.189431675,29.23564961,,,,,
,0.1,0.1,0.1,0.1,0.2,0.2,0.8,0.1,0.2,1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,,150.5528274,,,,,,,,
